Country,Indicator,Year,Value,Unit,Indicator Classification
Tajikistan,Irrigated grain as % of total grain production,,- ,%,Irrigation and drainage
Tajikistan,Total harvested irrigated cropped area ,2009,"729,283",ha,Harvested crops
Tajikistan,Temporary crops: total,2009,"555,415",ha,Harvested crops
Tajikistan,Wheat,2009,"179,742",ha,Harvested crops
Tajikistan,Rice,2009,"14,126",ha,Harvested crops
Tajikistan,Barley,2009,"18,017",ha,Harvested crops
Tajikistan,Maize,2009,"14,743",ha,Harvested crops
Tajikistan,Millet,2009,237,ha,Harvested crops
Tajikistan,Other cereals,2009,"6,988",ha,Harvested crops
Tajikistan,Potatoes,2009,"29,901",ha,Harvested crops
Tajikistan,Sugarbeet,2009,53,ha,Harvested crops
Tajikistan,Pulses,2009,"4,667",ha,Harvested crops
Tajikistan,Vegetables,2009,"37,162",ha,Harvested crops
Tajikistan,Tobacco,2009,210,ha,Harvested crops
Tajikistan,Cotton,2009,"237,130",ha,Harvested crops
Tajikistan,Fodder (temporary),2009,"8,323",ha,Harvested crops
Tajikistan,Soyabeans,2009,7,ha,Harvested crops
Tajikistan,Sunflower,2009,"3,493",ha,Harvested crops
Tajikistan,Sesame,2009,616,ha,Harvested crops
Tajikistan,Permanent crops: total,2009,"133,000",ha,Harvested crops
Tajikistan,Fodder (alfalfa),2009,"34,043",ha ,Harvested crops
Tajikistan,Other perennial crops,2009,"98,957",ha,Harvested crops
Tajikistan,Permanent meadows and pastures,2009,"40,868",ha,Harvested crops
Tajikistan,Irrigated cropping intensity (on full control actually irrigated area),2009,108,  %,Harvested crops
Tajikistan,Total drained area,2009,"345,200",ha,Drainage - Environment
Tajikistan,Area equipped for irrigation drained,2009,"345,200",ha,Drainage - Environment
Tajikistan,Other drained area (non-irrigated),,-,ha,Drainage - Environment
Tajikistan,drained area as % of cultivated area,2009,39,%,Drainage - Environment
Tajikistan,Flood-protected areas,,-,ha,Drainage - Environment
Tajikistan,Area salinized by irrigation,2009,"23,235",ha,Drainage - Environment
Tajikistan,Population affected by water-related diseases,,- ,inhabitants,Drainage - Environment
Turkmenistan,Country total area,2009,"48,810,000",ha  ,Physical areas
Turkmenistan,Cultivated area (arable land and area under permanent crops),2009,"1,910,000",ha,Physical areas
Turkmenistan,Cultivated area as % of the total area of the country,2009,4,%,Physical areas
Turkmenistan,Arable land (annual crops + temp fallow + temp meadows),2009,"1,850,000",ha,Physical areas
Turkmenistan,Area under permanent crops,2009,"60,000",ha,Physical areas
Turkmenistan,Total population ,2011,"5,105,000",inhabitants,Population
Turkmenistan,Rural population,2011,50,%,Population
Turkmenistan,Population density,2011,10,inhabitants/km2,Population
Turkmenistan,Economically active population,2011,"2,431,000",inhabitants,Population
Turkmenistan,Economically active population as % of total population,2011,48,%,Population
Turkmenistan,female % of total economically active population,2011,47,%,Population
Turkmenistan,male % of total economically active population,2011,53,%,Population
Turkmenistan,Population economically active in agriculture,2011,"714,000",inhabitants,Population
Turkmenistan,Agricultural population as % of total economically active population,2011,29,%,Population
Turkmenistan,female % of total economically active agricultural population,2011,53,%,Population
Turkmenistan,male % of total economically active agricultural population,2011,47,%,Population
Turkmenistan,Gross Domestic Product (GDP) (current US$),2010,"20,001",million US$/yr,Economy and development
Turkmenistan,value added in agriculture (% of GDP),2010,12,%,Economy and development
Turkmenistan,GDP per capita,2010,"3,967",US$/yr,Economy and development
Turkmenistan,Human Development Index (highest = 1),2011,0.686,,Economy and development
Turkmenistan,Total population with access to improved drinking water sources,2006,84,%,Economy and development
Turkmenistan,Urban population with access to improved drinking water sources,2010,97,%,Economy and development
Turkmenistan,Rural population with access to improved drinking water sources,2006,72,%,Economy and development
Turkmenistan,Precipitation (long-term average),- ,161,mm/yr,Renewable freshwater resources
Turkmenistan,Precipitation (average volume),- ,"78,580",million m3/yr,Renewable freshwater resources
Turkmenistan,Internal renewable water resources (long-term average),- ,"1,405",million m3/yr,Renewable freshwater resources
Turkmenistan,Total actual renewable water resources,- ,"24,765",million m3/yr,Renewable freshwater resources
Turkmenistan,Dependency ratio,- ,97,%,Renewable freshwater resources
Turkmenistan,Total actual renewable water resources per inhabitant,2011,"4,851",m3/yr,Renewable freshwater resources
Turkmenistan,Total dam capacity,2004,"6,220",million m3,Renewable freshwater resources
Turkmenistan,Total water withdrawal by sector ,2004,"27,958",million m3/yr,Water withdrawal
Turkmenistan,Agricultural water withdrawal,2004,"26,364",million m3/yr,Water withdrawal
Turkmenistan,Municipal water withdrawal,2004,755,million m3/yr,Water withdrawal
Turkmenistan,Industrial water withdrawal,2004,839,million m3/yr,Water withdrawal
Turkmenistan,Per inhabitant water withdrawal,2004,"5,952",m3/yr,Water withdrawal
Turkmenistan,Surface water and groundwater withdrawal (primary and secondary),2004,"27,542",million m3/yr,Water withdrawal
Turkmenistan,Water withdrawal as % of total actual renewable water resources,2004,111,%,Water withdrawal
Turkmenistan,Produced municipal wastewater,2004,"1,275",million m3/yr,Non-conventional sources of water
Turkmenistan,Treated municipal wastewater ,2004,336,million m3/yr,Non-conventional sources of water
Turkmenistan,Direct use of treated municipal wastewater,2004,336,million m3/yr,Non-conventional sources of water
Turkmenistan,Desalinated water produced,,-,million m3/yr,Non-conventional sources of water
Turkmenistan,Direct use of agricultural drainage water,1994,80,million m3/yr,Non-conventional sources of water
Turkmenistan,Irrigation potential,2012,"2,353,000",  ha,Irrigation and drainage
Turkmenistan,Total full control irrigation: equipped area,2006,"1,990,800",ha,Irrigation and drainage
Turkmenistan,Surface irrigation equipped area ,2006,"1,990,800",ha,Irrigation and drainage
Turkmenistan,Sprinkler irrigation equipped area,2006,0,ha,Irrigation and drainage
Turkmenistan,Localized irrigation equipped area,2006,0,ha,Irrigation and drainage
Turkmenistan,% of area irrigated from surface water,2006,100,%,Irrigation and drainage
Turkmenistan,% of area irrigated from groundwater,2006,1,%,Irrigation and drainage
Turkmenistan,% of area irrigated from mixed surface water and groundwater,,-,%,Irrigation and drainage
Turkmenistan,% of area irrigated from mixed non-conventional sources of water,,-,%,Irrigation and drainage
Turkmenistan,area equipped for full control irrigation actually irrigated,2006,"1,990,800",ha,Irrigation and drainage
Turkmenistan,Area actually irrigated as % of full control area equipped,2006,100,%,Irrigation and drainage
Turkmenistan,"Equipped lowlands (wetland, ivb, flood plains, mangroves)",,-,ha,Irrigation and drainage
Turkmenistan,Spate irrigation,,-,ha,Irrigation and drainage
Turkmenistan,Total area equipped for irrigation ,2006,"1,990,800",ha,Irrigation and drainage
Turkmenistan,Equipped for irrigation as % of cultivated area ,2006,102,%,Irrigation and drainage
Turkmenistan,% of total area equipped for irrigation actually irrigated,2006,100,%,Irrigation and drainage
Turkmenistan,average increase per year over the last 12 years ,1994-2006 ,1,%,Irrigation and drainage
Turkmenistan,Power irrigated area as % of total area equipped,1994,16,%,Irrigation and drainage
Turkmenistan,Non-equipped cultivated wetlands and inland valley bottoms,,-,ha,Irrigation and drainage
Turkmenistan,Non-equipped flood recession cropping area,,-,ha,Irrigation and drainage
Turkmenistan,Total water-managed area ,2006,"1,990,800",ha,Irrigation and drainage
Turkmenistan,Water-managed area as % of cultivated area ,2006,102,%,Irrigation and drainage
Turkmenistan,Small-scale full control irrigation schemes,,-,ha,Irrigation and drainage
Turkmenistan,Medium-scale  full control irrigation schemes,,-,ha,Irrigation and drainage
Turkmenistan,Large-scale  full control irrigation schemes,,-,ha,Irrigation and drainage
Turkmenistan,Total number of households in irrigation ,,-,,Irrigation and drainage
Turkmenistan,Irrigated crops in full control irrigation schemes,,,,Irrigation and drainage
Turkmenistan,Total irrigated grain production,,-,metric tons,Irrigation and drainage
Turkmenistan,Irrigated grain as % of total grain production,,-,%,Irrigation and drainage
Turkmenistan,Total harvested irrigated cropped area ,2006,"2,013,800",ha,Harvested crops
Turkmenistan,Temporary crops: total,2006,"1,823,300",ha,Harvested crops
Turkmenistan,Wheat,2006,"917,000",ha,Harvested crops
Turkmenistan,Rice,2006,"11,000",ha,Harvested crops
Turkmenistan,Potatoes,2006,"8,800",ha,Harvested crops
Turkmenistan,Sugarbeet,2006,"12,000",ha,Harvested crops
Turkmenistan,Vegetables,2006,"29,400",ha,Harvested crops
Turkmenistan,Cotton,2006,"652,000",ha,Harvested crops
Turkmenistan,Fodder,2006,"93,000",ha,Harvested crops
Turkmenistan,Other temporary crops,2006,"100,100",ha,Harvested crops
Turkmenistan,Permanent crops: total,2006,"65,000",ha,Harvested crops
Turkmenistan,Permanent meadows and pastures,2006,"125,500",ha,Harvested crops
Turkmenistan,Irrigated cropping intensity (on full control actually irrigated area),2006,101,%,Harvested crops
Turkmenistan,Total drained area,1998,"1,011,897",ha,Drainage - Environment
Turkmenistan,Area equipped for irrigation drained,1998,"1,011,897",ha,Drainage - Environment
Turkmenistan,Other drained area (non-irrigated),,-,ha,Drainage - Environment
Turkmenistan,drained area as % of cultivated area,1998,59,%,Drainage - Environment
Turkmenistan,Flood-protected areas,,-,ha,Drainage - Environment
Turkmenistan,Area salinized by irrigation,2002,"1,353,744",ha,Drainage - Environment
Turkmenistan,Population affected by water-related diseases,2004,"12,295",inhabitants,Drainage - Environment
Uzbekistan,Country total area,2009,"48,810,000",ha  ,Physical areas
Uzbekistan,Cultivated area (arable land and area under permanent crops),2009,"1,910,000",ha,Physical areas
Uzbekistan,Cultivated area as % of the total area of the country,2009,4,%,Physical areas
Uzbekistan,Arable land (annual crops + temp fallow + temp meadows),2009,"1,850,000",ha,Physical areas
Uzbekistan,Area under permanent crops,2009,"60,000",ha,Physical areas
Uzbekistan,Total population ,2011,"5,105,000",inhabitants,Population
Uzbekistan,Rural population,2011,50,%,Population
Uzbekistan,Population density,2011,10,inhabitants/km2,Population
Uzbekistan,Economically active population,2011,"2,431,000",inhabitants,Population
Uzbekistan,Economically active population as % of total population,2011,48,%,Population
Uzbekistan,female % of total economically active population,2011,47,%,Population
Uzbekistan,male % of total economically active population,2011,53,%,Population
Uzbekistan,Population economically active in agriculture,2011,"714,000",inhabitants,Population
Uzbekistan,Agricultural population as % of total economically active population,2011,29,%,Population
Uzbekistan,female % of total economically active agricultural population,2011,53,%,Population
Uzbekistan,male % of total economically active agricultural population,2011,47,%,Population
Uzbekistan,Gross Domestic Product (GDP) (current US$),2010,"20,001",million US$/yr,Economy and development
Uzbekistan,value added in agriculture (% of GDP),2010,12,%,Economy and development
Uzbekistan,GDP per capita,2010,"3,967",US$/yr,Economy and development
Uzbekistan,Human Development Index (highest = 1),2011,0.686,,Economy and development
Uzbekistan,Total population with access to improved drinking water sources,2006,84,%,Economy and development
Uzbekistan,Urban population with access to improved drinking water sources,2010,97,%,Economy and development
Uzbekistan,Rural population with access to improved drinking water sources,2006,72,%,Economy and development
Uzbekistan,Precipitation (long-term average),- ,161,mm/yr,Renewable freshwater resources
Uzbekistan,Precipitation (average volume),- ,"78,580",million m3/yr,Renewable freshwater resources
Uzbekistan,Internal renewable water resources (long-term average),- ,"1,405",million m3/yr,Renewable freshwater resources
Uzbekistan,Total actual renewable water resources,- ,"24,765",million m3/yr,Renewable freshwater resources
Uzbekistan,Dependency ratio,- ,97,%,Renewable freshwater resources
Uzbekistan,Total actual renewable water resources per inhabitant,2011,"4,851",m3/yr,Renewable freshwater resources
Uzbekistan,Total dam capacity,2004,"6,220",million m3,Renewable freshwater resources
Uzbekistan,Total water withdrawal by sector ,2004,"27,958",million m3/yr,Water withdrawal
Uzbekistan,Agricultural water withdrawal,2004,"26,364",million m3/yr,Water withdrawal
Uzbekistan,Municipal water withdrawal,2004,755,million m3/yr,Water withdrawal
Uzbekistan,Industrial water withdrawal,2004,839,million m3/yr,Water withdrawal
Uzbekistan,Per inhabitant water withdrawal,2004,"5,952",m3/yr,Water withdrawal
Uzbekistan,Surface water and groundwater withdrawal (primary and secondary),2004,"27,542",million m3/yr,Water withdrawal
Uzbekistan,Water withdrawal as % of total actual renewable water resources,2004,111,%,Water withdrawal
Uzbekistan,Produced municipal wastewater,2004,"1,275",million m3/yr,Non-conventional sources of water
Uzbekistan,Treated municipal wastewater ,2004,336,million m3/yr,Non-conventional sources of water
Uzbekistan,Direct use of treated municipal wastewater,2004,336,million m3/yr,Non-conventional sources of water
Uzbekistan,Desalinated water produced,,-,million m3/yr,Non-conventional sources of water
Uzbekistan,Direct use of agricultural drainage water,1994,80,million m3/yr,Non-conventional sources of water
Uzbekistan,Irrigation potential,2012,"2,353,000",  ha,Irrigation and drainage
Uzbekistan,Total full control irrigation: equipped area,2006,"1,990,800",ha,Irrigation and drainage
Uzbekistan,Surface irrigation equipped area ,2006,"1,990,800",ha,Irrigation and drainage
Uzbekistan,Sprinkler irrigation equipped area,2006,0,ha,Irrigation and drainage
Uzbekistan,Localized irrigation equipped area,2006,0,ha,Irrigation and drainage
Uzbekistan,% of area irrigated from surface water,2006,100,%,Irrigation and drainage
Uzbekistan,% of area irrigated from groundwater,2006,1,%,Irrigation and drainage
Uzbekistan,% of area irrigated from mixed surface water and groundwater,,-,%,Irrigation and drainage
Uzbekistan,% of area irrigated from mixed non-conventional sources of water,,-,%,Irrigation and drainage
Uzbekistan,area equipped for full control irrigation actually irrigated,2006,"1,990,800",ha,Irrigation and drainage
Uzbekistan,Area actually irrigated as % of full control area equipped,2006,100,%,Irrigation and drainage
Uzbekistan,"Equipped lowlands (wetland, ivb, flood plains, mangroves)",,-,ha,Irrigation and drainage
Uzbekistan,Spate irrigation,,-,ha,Irrigation and drainage
Uzbekistan,Total area equipped for irrigation ,2006,"1,990,800",ha,Irrigation and drainage
Uzbekistan,Equipped for irrigation as % of cultivated area ,2006,102,%,Irrigation and drainage
Uzbekistan,% of total area equipped for irrigation actually irrigated,2006,100,%,Irrigation and drainage
Uzbekistan,average increase per year over the last 12 years ,1994-2006 ,1,%,Irrigation and drainage
Uzbekistan,Power irrigated area as % of total area equipped,1994,16,%,Irrigation and drainage
Uzbekistan,Non-equipped cultivated wetlands and inland valley bottoms,,-,ha,Irrigation and drainage
Uzbekistan,Non-equipped flood recession cropping area,,-,ha,Irrigation and drainage
Uzbekistan,Total water-managed area ,2006,"1,990,800",ha,Irrigation and drainage
Uzbekistan,Water-managed area as % of cultivated area ,2006,102,%,Irrigation and drainage
Uzbekistan,Small-scale full control irrigation schemes,,-,ha,Irrigation and drainage
Uzbekistan,Medium-scale  full control irrigation schemes,,-,ha,Irrigation and drainage
Uzbekistan,Large-scale  full control irrigation schemes,,-,ha,Irrigation and drainage
Uzbekistan,Total number of households in irrigation ,,-,,Irrigation and drainage
Uzbekistan,Irrigated crops in full control irrigation schemes,,,,Irrigation and drainage
Uzbekistan,Total irrigated grain production,,-,metric tons,Irrigation and drainage
Uzbekistan,Irrigated grain as % of total grain production,,-,%,Irrigation and drainage
Uzbekistan,Total harvested irrigated cropped area ,2006,"2,013,800",ha,Harvested crops
Uzbekistan,Temporary crops: total,2006,"1,823,300",ha,Harvested crops
Uzbekistan,Wheat,2006,"917,000",ha,Harvested crops
Uzbekistan,Rice,2006,"11,000",ha,Harvested crops
Uzbekistan,Potatoes,2006,"8,800",ha,Harvested crops
Uzbekistan,Sugarbeet,2006,"12,000",ha,Harvested crops
Uzbekistan,Vegetables,2006,"29,400",ha,Harvested crops
Uzbekistan,Cotton,2006,"652,000",ha,Harvested crops
Uzbekistan,Fodder,2006,"93,000",ha,Harvested crops
Uzbekistan,Other temporary crops,2006,"100,100",ha,Harvested crops
Uzbekistan,Permanent crops: total,2006,"65,000",ha,Harvested crops
Uzbekistan,Permanent meadows and pastures,2006,"125,500",ha,Harvested crops
Uzbekistan,Irrigated cropping intensity (on full control actually irrigated area),2006,101,%,Harvested crops
Uzbekistan,Total drained area,1998,"1,011,897",ha,Drainage - Environment
Uzbekistan,Area equipped for irrigation drained,1998,"1,011,897",ha,Drainage - Environment
Uzbekistan,Other drained area (non-irrigated),,-,ha,Drainage - Environment
Uzbekistan,drained area as % of cultivated area,1998,59,%,Drainage - Environment
Uzbekistan,Flood-protected areas,,-,ha,Drainage - Environment
Uzbekistan,Area salinized by irrigation,2002,"1,353,744",ha,Drainage - Environment
Uzbekistan,Population affected by water-related diseases,2004,"12,295",inhabitants,Drainage - Environment
,,,,,
,,,,,
